01,01,Nowy Rok
01,06,Trzech Kroli
02,02,Gromniczna
02,14,Walentynki
03,21,Pierwszy dzien wiosny
04,23,Swiety Jerzy
05,01,Swieto Pracy
05,02,Dzien Flagi
05,03,Konstytucja 3 Maja
05,12,Zimni Ogrodnicy - Pankracy
05,13,Zimni Ogrodnicy - Serwacy
05,14,Zimni Ogrodnicy - Bonifacy
05,15,Zimna Zofja
06,21,Noc Kupaly - Sobotka
06,23,Wianki
08,15,Wniebowziecie NMP
10,01,Dzien Nauczyciela
11,01,Wszystkich Swietych
11,02,Dzien Zaduszny
11,11,Swieto Niepodleglosci
12,06,Swiety Mikolaj
12,24,Wigilia Bozego Narodzenia
12,25,Boze Narodzenie
12,26,Drugi dzien Swiat
12,31,Sylwester
